Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,"94,91","14.982,86",N/A,"1,53","1,65 %","4,51 %","8,50 %","16,54 %","1,50 %","1,42 %","1,38 %","11,40 %","-2,16 %","-0,54 %","19,12 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"63,73",0,N/A,N/A,N/A
AAZQ11,Indefinido,"7,53","348.868,86","0,87","0,10","1,33 %","4,51 %","8,59 %","18,51 %","1,50 %","1,43 %","1,54 %","13,82 %","-2,21 %","-0,91 %","39,30 %","207.648.492,97","8,64","0,87","1,16 %","0,00 %","0,00 %","0,00 %",0,"19,27",29.398,N/A,"1,20 % a.a","10,00 % a.a"
ABCP11,Shoppings,"80,95","58.008,52","0,76","0,50","0,59 %","2,48 %","4,94 %","10,54 %","0,83 %","0,82 %","0,88 %","7,15 %","-9,60 %","-9,07 %","41,53 %","503.612.185,16","106,94","0,76","0,47 %","16,47 %","17,01 %","25,34 %",1,"23,67",14.744,N/A,"0,10 % a.a",N/A
AFHI11,Papéis,"93,10","661.943,67","0,99","1,01","1,08 %","3,39 %","6,75 %","13,48 %","1,13 %","1,13 %","1,12 %","10,15 %","2,54 %","3,65 %","25,03 %","428.799.120,18","94,13","0,99","1,07 %","-0,88 %","0,18 %","6,46 %",14,"11,78",38.309,N/A,"1,00 % a.a",N/A
AGRX11,Indefinido,"7,98","1.413.451,71","0,76","0,12","1,48 %","4,52 %","9,03 %","15,50 %","1,51 %","1,51 %","1,29 %","12,07 %","3,05 %","4,58 %","37,31 %","188.244.304,45","10,51","0,76","1,14 %","0,00 %","0,00 %","0,00 %",0,"31,38",18.496,N/A,"1,00 % a.a","10,00 % a.a"
AIEC11,Lajes Corporativas,"50,69","301.851,05","0,63","0,34","0,72 %","2,17 %","4,28 %","12,68 %","0,72 %","0,71 %","1,06 %","8,20 %","2,71 %","3,45 %","20,54 %","390.257.875,50","80,88","0,63","0,42 %","-13,51 %","-13,14 %","-12,14 %",2,"19,33",15.340,N/A,"0,75 % a.a","20,00 % a.a"
AJFI11,Shoppings,"7,90","231.854,24","0,65","0,06","0,78 %","2,45 %","5,27 %","11,58 %","0,82 %","0,88 %","0,97 %","8,48 %","7,23 %","8,07 %","25,02 %","384.210.693,68",N/A,N/A,N/A,N/A,N/A,N/A,13,"13,76",12.568,"0,60 % a.a","0,10 % a.a",N/A
ALMI11,Lajes Corporativas,"575,01","13.841,32","0,27","4,23","0,68 %","1,56 %","2,90 %","7,82 %","0,52 %","0,48 %","0,65 %","5,02 %","0,00 %","0,00 %",N/A,"234.116.981,79","2.046,78","0,28","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"45,06",1.939,N/A,"0,38 % a.a",N/A
ALZC11,Papéis,"7,75","182.517,29","0,82","0,11","1,35 %","3,95 %","8,17 %","16,74 %","1,32 %","1,36 %","1,40 %","12,49 %","-0,26 %","1,09 %","2,51 %","189.237.471,78",N/A,N/A,N/A,N/A,N/A,N/A,14,"52,70",9.280,N/A,"1,30 % a.a","20,00 % a.a"
ALZM11,Fundo de Fundos,"6,32","164,43","0,85","0,40","6,30 %","0,00 %","0,00 %","12,12 %","0,00 %","0,00 %","1,01 %","7,55 %","-1,25 %","4,97 %","4,65 %","113.203.496,22","7,46","0,85","1,07 %","-91,94 %","-91,85 %","-91,51 %",14,"18,39",12.195,N/A,"0,80 % a.a","20,00 % a.a"
ALZR11,Misto,"10,52","1.534.792,10","0,98","0,08","0,82 %","2,56 %","5,06 %","10,02 %","0,85 %","0,84 %","0,84 %","6,78 %","-0,10 %","0,72 %","18,87 %","1.305.279.166,71","10,68","0,99","0,77 %","-90,01 %","-89,93 %","-89,13 %",19,"11,66",167.464,"0,70 % a.a","0,25 % a.a",N/A
APTO11,Imóveis Residenciais,"8,52","11.803,38","0,87","0,09","1,06 %","3,31 %","6,62 %","13,24 %","1,10 %","1,10 %","1,10 %","9,99 %","2,17 %","3,25 %","14,36 %","45.162.256,37","9,79","0,87","0,92 %","-1,71 %","-0,80 %","13,26 %",3,"20,67",8.232,N/A,"1,50 % a.a","20,00 % a.a"
APXM11,Shoppings,"83,50","72.379,15","0,68","0,25","0,30 %","0,98 %","2,44 %","4,78 %","0,98 %","0,41 %","0,40 %","3,07 %","-8,83 %","-8,56 %","-12,23 %","349.190.139,54",N/A,N/A,N/A,N/A,N/A,N/A,1,"58,51",596,N/A,N/A,N/A
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,"1,00 % a.a","20,00 % a.a"
AROA11,Imóveis Industriais e Logísticos,"1,01","6.164,00","1,06","0,01","0,73 %","2,01 %","3,99 %","7,94 %","0,67 %","0,67 %","0,66 %","5,96 %","-0,97 %","-0,25 %","12,75 %","159.917.971,91",N/A,N/A,N/A,N/A,N/A,N/A,6,"32,45",4.791,N/A,N/A,N/A
ARRI11,Papéis,"6,57","224.662,71","0,78","0,09","1,34 %","3,94 %","7,72 %","14,95 %","1,31 %","1,29 %","1,25 %","11,44 %","-1,61 %","-0,29 %","-3,31 %","175.613.929,97","8,47","0,78","1,06 %","-4,40 %","-3,39 %","-89,38 %",1,"16,57",23.644,N/A,N/A,N/A
ARXD11,Papéis,"7,40","82.554,43","0,81","0,10","1,28 %","3,79 %","7,78 %","15,92 %","1,26 %","1,30 %","1,33 %","12,11 %","-1,46 %","-0,20 %","11,73 %","82.249.920,75",N/A,N/A,N/A,N/A,N/A,N/A,14,"30,88",1.782,N/A,"1,02 % a.a",N/A
ASMT11,Lajes Corporativas,"4,10","12.484,00","0,41","0,08","1,12 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,19 %","-4,46 %","-3,39 %","-3,83 %","169.085.584,25",N/A,N/A,N/A,N/A,N/A,N/A,3,"52,59",1,N/A,"1,20 % a.a","20,00 % a.a"
ASRF11,Indefinido,"10.888,00","76.216,00","1,12","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"38.822.624,03",N/A,N/A,N/A,N/A,N/A,N/A,2,"15,71",68,N/A,N/A,N/A
ATSA11,Shoppings,"49,98","304,80","0,65","0,15","0,00 %","1,37 %","2,10 %","5,08 %","0,46 %","0,35 %","0,42 %","4,12 %","0,00 %","0,00 %",N/A,"134.327.235,30","76,71","0,65","0,20 %","-5,81 %","-5,62 %","-14,29 %",1,"33,45",302,N/A,"0,50 % a.a",N/A
AURB11,Imóveis Comerciais - Outros,"72,40","3.330.666,00","0,93","0,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"84.785.597,51",N/A,N/A,N/A,N/A,N/A,N/A,2,"39,11",20,N/A,"1,05 % a.a",N/A
AZIN11,N/A,"99,90","937.234,14",N/A,"1,90","1,88 %","5,34 %","10,24 %","13,39 %","1,78 %","1,71 %","1,12 %","13,39 %","1,25 %","3,15 %","44,62 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"12,91",0,N/A,"1,25 % a.a","20,00 % a.a"
AZPE11,Papéis,N/A,N/A,N/A,"0,15","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"125.015.499,50",N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,2,N/A,N/A,N/A
AZPL11,Serviços Financeiros Diversos,"7,63","499.905,14","0,91","0,07","0,92 %","3,23 %","7,10 %","15,27 %","1,08 %","1,18 %","1,27 %","11,67 %","2,41 %","3,35 %","36,35 %","352.632.003,89",N/A,N/A,N/A,N/A,N/A,N/A,1,"28,28",6.366,N/A,"1,10 % a.a",N/A
BARI11,Papéis,"79,20","896.491,00","1,01","4,38","0,00 %","0,00 %","4,06 %","12,32 %","0,00 %","0,68 %","1,03 %","10,01 %","0,00 %","0,00 %",N/A,"363.696.267,15","78,48","1,01","1,21 %","-17,70 %","-16,71 %","-12,94 %",2,"20,27",31.765,"1,11 % a.a","0,20 % a.a","20,00 % a.a"
BBFI11B,Lajes Corporativas,"1.257,10","182.918,19","0,41","634,23","47,51 %","0,00 %","47,51 %","69,77 %","0,00 %","7,92 %","5,81 %","69,77 %","4,22 %","53,73 %","119,39 %","111.645.834,19","864,77","1,45","73,34 %","-60,09 %","-30,81 %","-43,61 %",1,"43,40",6.989,N/A,"3,50 % a.a",N/A
BBFO11,Fundo de Fundos,"64,80","218.338,62","0,89","0,73","1,16 %","3,63 %","7,20 %","14,10 %","1,21 %","1,20 %","1,18 %","10,96 %","1,25 %","2,43 %","23,59 %","291.866.658,78","72,90","0,89","1,04 %","-10,80 %","-9,87 %","-5,59 %",14,"15,60",6.931,N/A,"0,50 % a.a",N/A
BBGO11,Indefinido,"63,50","316.543,48","0,67","0,90","1,39 %","4,17 %","8,38 %","16,65 %","1,39 %","1,40 %","1,39 %","15,21 %","-1,74 %","-0,38 %","8,93 %","377.603.836,94","94,28","0,67","0,95 %","-3,73 %","-2,81 %","5,06 %",0,"19,25",11.724,N/A,"0,85 % a.a","10,00 % a.a"
BBIG11,Serviços Financeiros Diversos,"6,98","752.313,62","0,69","0,08","1,15 %","3,41 %","6,95 %","14,24 %","1,14 %","1,16 %","1,19 %","10,84 %","0,43 %","1,59 %","20,92 %","1.010.130.407,71",N/A,N/A,N/A,N/A,N/A,N/A,3,"22,59",32.815,N/A,"0,80 % a.a",N/A
BBIM11,Papéis,N/A,N/A,N/A,"0,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"667,50",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,N/A,20,N/A,N/A,N/A
BBRC11,Agências de Bancos,"99,14","76.874,48","0,94","1,05","1,05 %","3,15 %","6,32 %","13,17 %","1,05 %","1,05 %","1,10 %","9,88 %","2,68 %","3,76 %","10,57 %","167.369.988,67","105,26","0,94","1,00 %","-2,23 %","-1,25 %","9,98 %",21,"19,52",8.879,N/A,"0,60 % a.a",N/A
BCIA11,Fundo de Fundos,"85,90","360.515,95","0,88","0,84","1,00 %","2,99 %","6,04 %","12,57 %","1,00 %","1,01 %","1,05 %","9,43 %","0,24 %","1,24 %","20,44 %","364.940.398,26","98,13","0,88","0,86 %","-2,12 %","-1,29 %","3,17 %",14,"17,46",21.523,N/A,"0,50 % a.a","20,00 % a.a"
BCRI11,Papéis,"63,35","396.495,19","0,76","0,83","1,27 %","4,01 %","7,77 %","16,19 %","1,34 %","1,30 %","1,35 %","12,08 %","1,59 %","2,88 %","31,12 %","521.476.882,60","83,33","0,76","1,09 %","-17,42 %","-16,52 %","-10,28 %",14,"16,87",42.928,N/A,"1,00 % a.a",N/A
BDIF11,Indefinido,"75,69","2.121.226,05",N/A,"0,60","0,79 %","3,10 %","7,16 %","15,34 %","1,03 %","1,19 %","1,28 %","11,53 %","5,46 %","6,29 %","26,94 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,51",0,N/A,"0,75 % a.a","20,00 % a.a"
BDIV11,Indefinido,"39,90","286.465,86",N/A,"1,60","4,13 %","4,13 %","8,64 %","224,27 %","1,38 %","1,44 %","18,69 %","13,59 %","9,19 %","13,70 %","15,47 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23,81",0,N/A,"1,10 % a.a",N/A
BETW11,Indefinido,N/A,N/A,N/A,"0,49","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"263.656.628,84",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A
BICE11,Fundo de Fundos,"898,00","118.313,00","0,83","1,00","0,11 %","0,51 %","1,32 %","5,74 %","0,51 %","0,22 %","0,48 %","3,75 %","0,00 %","0,00 %",N/A,"143.973.753,10","1.079,15","0,83","0,43 %","8,26 %","8,73 %","16,59 %",14,"46,02",117,N/A,N/A,N/A
BICR11,Papéis,"35,92","72,00","0,86","0,36","1,02 %","0,00 %","0,00 %","1,70 %","0,00 %","0,00 %","0,14 %","4,52 %","-10,54 %","-9,63 %","-26,97 %","20.805.910,51","42,51","0,84","0,85 %","-57,20 %","-56,84 %","-52,66 %",14,"31,30",641,N/A,"0,50 % a.a",N/A
BIDB11,Indefinido,"78,99","342.076,29",N/A,"1,10","1,43 %","2,81 %","7,37 %","16,45 %","0,94 %","1,23 %","1,37 %","12,46 %","0,71 %","2,15 %","21,83 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,50",0,N/A,"0,80 % a.a",N/A
BIME11,Indefinido,"6,96","47.279,00","0,82","0,08","1,13 %","3,71 %","7,74 %","16,16 %","1,24 %","1,29 %","1,35 %","12,06 %","2,60 %","3,76 %","27,88 %","49.514.016,67","8,47","0,82","1,06 %","-6,20 %","-5,20 %","1,64 %",3,"17,75",8.369,N/A,"1,50 % a.a","20,00 % a.a"
