Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,"94,00","13.155,13",N/A,"1,53","1,65 %","3,03 %","7,15 %","16,54 %","1,01 %","1,19 %","1,38 %","11,40 %","-2,16 %","-0,54 %","19,12 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"63,76",0,N/A,N/A,N/A
AAZQ11,Indefinido,"7,58","311.914,74","0,89","0,11","1,44 %","4,07 %","8,67 %","18,43 %","1,36 %","1,45 %","1,54 %","15,26 %","1,59 %","3,06 %","43,56 %","207.648.492,97","8,64","0,88","1,16 %","0,00 %","0,00 %","0,00 %",0,"18,77",29.398,N/A,"1,20 % a.a","10,00 % a.a"
ABCP11,Shoppings,"75,99","60.370,65","0,75","0,50","0,63 %","1,76 %","4,89 %","9,98 %","0,59 %","0,82 %","0,83 %","7,78 %","-5,28 %","-4,68 %","34,91 %","503.612.185,16","106,94","0,71","0,47 %","16,47 %","17,01 %","25,34 %",1,"23,34",14.744,N/A,"0,10 % a.a",N/A
AFHI11,Papéis,"93,34","575.482,65","1,00","1,01","1,08 %","3,39 %","6,75 %","13,48 %","1,13 %","1,13 %","1,12 %","10,15 %","2,54 %","3,65 %","25,03 %","428.799.120,18","94,13","0,99","1,07 %","-0,88 %","0,18 %","6,46 %",14,"11,82",38.309,N/A,"1,00 % a.a",N/A
AGRX11,Indefinido,"8,18","1.272.125,17","0,76","0,12","1,48 %","4,52 %","9,03 %","15,50 %","1,51 %","1,51 %","1,29 %","12,07 %","3,05 %","4,58 %","37,31 %","188.244.304,45","10,51","0,78","1,14 %","0,00 %","0,00 %","0,00 %",0,"31,30",18.496,N/A,"1,00 % a.a","10,00 % a.a"
AIEC11,Lajes Corporativas,"51,50","283.926,96","0,64","0,34","0,65 %","2,11 %","4,22 %","11,80 %","0,70 %","0,70 %","0,98 %","8,85 %","12,13 %","12,86 %","36,03 %","390.257.875,50","80,88","0,64","0,42 %","-13,51 %","-13,14 %","-12,14 %",2,"19,51",15.340,N/A,"0,75 % a.a","20,00 % a.a"
AJFI11,Shoppings,"7,73","340.430,78","0,64","0,06","0,78 %","2,45 %","5,27 %","11,58 %","0,82 %","0,88 %","0,97 %","8,48 %","7,23 %","8,07 %","25,02 %","384.210.693,68",N/A,N/A,N/A,N/A,N/A,N/A,13,"13,64",12.568,"0,60 % a.a","0,10 % a.a",N/A
ALMI11,Lajes Corporativas,"580,51","15.388,52","0,28","4,17","0,72 %","1,40 %","3,28 %","7,97 %","0,47 %","0,55 %","0,66 %","5,74 %","-6,37 %","-5,70 %","9,25 %","234.116.981,79","2.046,78","0,28","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"45,19",1.939,N/A,"0,38 % a.a",N/A
ALZC11,Papéis,"7,80","143.993,48","0,82","0,11","1,35 %","3,95 %","8,17 %","16,74 %","1,32 %","1,36 %","1,40 %","12,49 %","-0,26 %","1,09 %","2,51 %","189.237.471,78",N/A,N/A,N/A,N/A,N/A,N/A,14,"52,37",9.280,N/A,"1,30 % a.a","20,00 % a.a"
ALZM11,Fundo de Fundos,"6,32","164,43","0,85","0,40","6,30 %","0,00 %","0,00 %","11,06 %","0,00 %","0,00 %","0,92 %","7,55 %","-1,25 %","4,97 %","4,65 %","113.203.496,22","7,46","0,85","1,07 %","-91,94 %","-91,85 %","-91,51 %",14,"18,73",12.195,N/A,"0,80 % a.a","20,00 % a.a"
