TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;STOCK;DEPARTMENT;IMAGE;isFinancial
AALR3;6,76;;-11,90;0,97;0,36;27,68;9,63;-7,04;8,70;11,42;2,72;0,30;0,84;36,23;-0,48;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;299.885,65;6,95;-0,57;0,20;1.029.950.098,32;AALR3;Alliança;AALR3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/alliar--big.svg;False
ABCB4;23,18;8,40;5,86;0,86;0,09;21,67;12,42;10,32;4,87;4,87;;;0,60;-2,47;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.403.938,22;26,90;3,96;0,60;5.671.145.945,26;ABCB4;Banco ABC Brasil;ABCB4;Financeiro;https://s3-symbol-logo.tradingview.com/abc-brasil--big.svg;True
ABEV3;11,98;8,78;12,80;2,04;1,33;51,50;25,06;16,08;8,22;7,59;-0,63;-0,16;2,06;48,17;-1,86;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;330.158.760,48;5,87;0,94;5,17;188.824.432.296,88;ABEV3;Ambev;ABEV3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/ambev--big.svg;False
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20;;;;;;False
AERI3;4,04;;-0,22;-3,95;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,24;1,14;-0,19;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;314.327,78;-1,02;-18,65;0,00;250.965.591,84;AERI3;Aeris Energy;AERI3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aeris-on-nm--big.svg;False
AESB3;8,12;;-18,70;1,87;0,40;27,59;23,00;-10,02;8,14;18,96;10,82;2,49;1,87;-16,98;-0,46;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,34;-0,43;-0,09;7.663.439.293,44;;;;;;False
AFLT3;7,39;5,81;17,85;1,94;1,32;54,38;48,60;34,47;12,66;12,86;0,20;0,03;6,15;9,76;-1,75;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;2.460,11;3,81;0,41;-2,50;466.195.933,00;AFLT3;Afluente T;AFLT3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/afluente-t-on--big.svg;False
AGRO3;20,37;7,64;15,15;0,96;0,55;28,86;17,49;11,78;10,20;15,82;5,62;0,53;1,78;4,03;-0,79;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.665.076,65;21,21;1,34;-0,39;2.091.661.754,28;AGRO3;BrasilAgro;AGRO3;Financeiro;https://s3-symbol-logo.tradingview.com/brasilagro--big.svg;False
AGXY3;5,68;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,05;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;91.897,39;-118,43;-172,09;0,00;96.387.163,28;AGXY3;AgroGalaxy;AGXY3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/agrogalaxy-on-nm--big.svg;False
AHEB3;27,75;;2,28;0,94;0,44;19,41;12,54;15,36;2,80;2,73;-0,11;-0,04;0,35;1,34;-0,77;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.424,25;29,44;12,15;-0,13;240.799.521,75;;;AHEB3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg;False
AHEB5;58,00;;4,77;1,97;0,91;19,41;12,54;15,36;5,85;2,73;-0,11;-0,04;0,73;2,79;-1,61;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;0,00;29,44;12,15;-0,28;240.799.521,75;;;AHEB5;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg;False
AHEB6;55,00;;4,53;1,87;0,86;19,41;12,54;15,36;5,55;2,73;-0,11;-0,04;0,70;2,65;-1,53;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;5.500,00;29,44;12,15;-0,27;240.799.521,75;;;AHEB6;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg;False
ALLD3;8,76;23,23;7,44;0,55;0,25;11,61;3,27;2,07;4,72;5,94;1,21;0,14;0,15;0,80;-0,89;1,76;7,44;3,34;7,88;0,45;0,55;1,61;8,27;2,08;1.462.337,13;15,82;1,18;-0,27;829.878.687,60;ALLD3;Allied;ALLD3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/allied-on-nm--big.svg;False
ALOS3;25,60;4,69;17,50;0,96;0,49;74,56;55,52;26,33;8,30;6,39;-1,91;-0,22;4,61;5,15;-0,57;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;59.712.177,04;26,67;1,46;1,93;12.907.288.243,20;ALOS3;Allos;ALOS3;Financeiro;https://s3-symbol-logo.tradingview.com/allos-on-nm--big.svg;True
ALPA3;9,30;1,04;24,45;1,54;1,03;46,65;5,85;5,97;24,96;24,62;-0,71;-0,04;1,46;3,77;-2,01;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;43.188,13;6,05;0,38;-0,21;6.445.237.578,51;ALPA3;Alpargatas;ALPA3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/alpargatas--big.svg;False
