TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
AALR3;6,39;;-11,25;0,92;0,34;27,68;9,63;-7,04;8,22;10,95;2,72;0,30;0,79;34,25;-0,46;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;314.194,32;6,95;-0,57;0,19;973.577.089,98;AALR3;Alliança;6,37;+1,11%;AALR3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/alliar--big.svg;False
ABCB4;23,09;8,43;5,84;0,86;0,09;21,67;12,42;10,32;4,85;4,85;;;0,60;-2,46;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.809.408,50;26,90;3,96;0,60;5.649.126.828,13;ABCB4;Banco ABC Brasil;23,23;+2,11%;ABCB4;Financeiro;https://s3-symbol-logo.tradingview.com/abc-brasil--big.svg;True
ABEV3;12,50;8,41;13,36;2,13;1,39;51,50;25,06;16,08;8,57;7,95;-0,63;-0,16;2,15;50,26;-1,94;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;350.053.722,64;5,87;0,94;5,40;197.020.484.450,00;ABEV3;Ambev;12,79;+0,63%;ABEV3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/ambev--big.svg;False
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20;;;;;;;;False
AERI3;4,07;;-0,22;-3,98;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,25;1,15;-0,20;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;541.237,77;-1,02;-18,65;0,00;252.829.197,72;AERI3;Aeris Energy;4,12;+1,48%;AERI3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aeris-on-nm--big.svg;False
AESB3;8,12;;-17,01;1,70;0,37;27,59;23,00;-10,02;7,41;18,23;10,82;2,49;1,70;-15,45;-0,42;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,76;-0,48;-0,08;6.973.842.690,64;;;;;;;;False
AFLT3;7,40;5,80;17,87;1,94;1,32;54,38;48,60;34,47;12,68;12,88;0,20;0,03;6,16;9,77;-1,75;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;2.951,86;3,81;0,41;-2,51;466.826.780,00;AFLT3;Afluente T;7,26;+2,40%;AFLT3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/afluente-t-on--big.svg;False
AGRO3;20,30;7,66;15,10;0,96;0,54;28,86;17,49;11,78;10,17;15,78;5,62;0,53;1,78;4,01;-0,78;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.506.020,64;21,21;1,34;-0,39;2.084.473.913,20;AGRO3;BrasilAgro;20,52;-0,48%;AGRO3;Financeiro;https://s3-symbol-logo.tradingview.com/brasilagro--big.svg;False
AGXY3;5,75;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;117.664,68;-118,43;-172,09;0,00;97.575.033,25;AGXY3;AgroGalaxy;5,77;+0,00%;AGXY3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/agrogalaxy-on-nm--big.svg;False
AHEB3;29,59;;2,44;1,01;0,47;19,41;12,54;15,36;2,98;2,91;-0,11;-0,04;0,37;1,43;-0,82;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.767,25;29,44;12,15;-0,14;256.270.015,43;;;;;AHEB3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg;False
