"Ticker","Nome","Negócios","Última (R$)","Variação"
"AZUL4","Azul","80.402.300","1,45","+4,32%"
"COGN3","Cogna","51.129.600","3,14","+1,95%"
"MGLU3","Magazine Luiza","49.535.900","11,31","+5,31%"
"BBDC4","Banco Bradesco","44.010.600","17,58","+3,47%"
"B3SA3","B3","39.739.900","13,72","+1,78%"
"BBAS3","Banco do Brasil","39.196.600","21,87","-0,32%"
"CSAN3","Cosan","35.412.800","8,00","+3,49%"
"RAIZ4","Raízen","31.306.800","1,34","+2,29%"
"LREN3","Lojas Renner","31.079.600","17,02","+0,71%"
"ITSA4","Itaúsa","29.656.000","11,35","+1,89%"
"PETR4","Petrobras","29.148.100","31,72","+0,60%"
"JHSF3","JHSF","27.629.500","6,02","+8,27%"
"ABEV3","Ambev","26.865.600","12,79","+0,63%"
"VAMO3","Grupo Vamos","26.734.200","4,05","+1,00%"
"MRFG3","Marfrig","25.722.200","26,92","-2,18%"
"ITUB4","Itaú Unibanco","24.491.600","38,44","+1,42%"
"ASAI3","Assaí","24.154.100","10,57","+4,55%"
"VALE3","Vale","23.116.700","57,80","+0,17%"
"NATU3","NATURA","22.085.000","8,87","+1,37%"
"CVCB3","CVC","19.261.600","2,09","+1,46%"
"PCAR3","Grupo Pão de Açúcar","19.203.800","4,06","-2,17%"
"RADL3","RaiaDrogasil","16.461.300","18,55","+6,06%"
"SBFG3","Grupo SBF","16.217.400","12,94","-3,00%"
"RAIL3","Rumo","15.326.500","15,28","+2,69%"
"BHIA3","Casas Bahia","14.561.200","4,90","+13,43%"
"MOTV3","Motiva","14.518.800","14,83","+0,61%"
"PETR3","Petrobras","12.977.900","34,44","+0,76%"
"ENEV3","Eneva","12.625.300","16,29","+2,32%"
"USIM5","Usiminas","11.471.200","4,63","+0,87%"
"ELET3","Eletrobras","10.343.000","48,80","+1,75%"
"CPLE6","Copel","9.980.100","12,84","+1,26%"
"RENT3","Localiza","9.782.800","40,10","+2,56%"
"WEGE3","WEG","9.531.700","36,71","-0,16%"
"CMIG4","Cemig","9.521.900","11,40","+1,88%"
"BEEF3","Minerva","9.076.400","6,47","-1,22%"
"BBSE3","BB Seguridade","8.827.600","32,53","+0,65%"
"BPAC11","Banco BTG Pactual","8.736.400","46,70","+1,43%"
"MRVE3","MRV","8.710.400","7,81","+2,76%"
"BBDC3","Banco Bradesco","8.555.000","15,04","+3,01%"
"CSNA3","Siderúrgica Nacional","8.515.000","8,11","+0,50%"
"VBBR3","Vibra Energia","8.351.600","24,29","-0,90%"
"POMO4","Marcopolo","8.237.500","9,74","+0,93%"
"BRFS3","BRF","8.076.900","22,03","-0,54%"
"PETZ3","Petz","7.719.400","3,98","+0,76%"
