TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;23,31;8,35;5,89;0,87;0,09;21,67;12,42;10,32;4,90;4,90;;;0,61;-2,48;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.846.147,00;26,90;3,96;0,61;5.702.951.336,67
ALOS3;25,50;4,71;18,78;1,03;0,52;74,56;55,52;26,33;8,90;7,00;-1,91;-0,22;4,94;5,52;-0,61;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;64.395.468,10;24,77;1,36;2,07;13.844.891.179,50
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
B3SA3;13,63;2,17;14,91;3,64;1,53;90,57;58,91;44,65;11,30;11,29;-0,01;0,00;6,66;7,07;-2,35;2,62;24,40;10,24;9,27;0,42;0,58;0,23;12,34;12,15;291.501.181,19;3,75;0,91;0,99;71.782.395.000,00
BAZA3;77,70;10,31;3,53;0,65;0,08;10,24;25,41;23,66;3,29;3,29;;;0,84;79,51;-0,08;;18,42;2,17;;0,12;0,88;0,09;26,63;34,96;409.390,48;119,36;21,99;-1,37;4.355.731.075,50
BBAS3;21,63;7,97;6,61;0,68;0,05;34,96;2,96;6,48;14,48;14,48;;;0,43;2,08;-0,05;11,97;10,31;0,77;;0,07;0,92;0,12;17,31;2,74;680.767.848,24;31,76;3,27;-0,14;123.957.940.285,20
BBDC3;15,15;7,59;7,65;0,92;0,07;31,68;8,22;8,95;8,33;9,03;;;0,68;0,79;-0,08;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;93.005.386,52;16,43;1,98;0,13;173.953.742.404,05
BBDC4;17,70;6,98;8,94;1,08;0,09;31,68;8,22;8,95;9,73;9,03;;;0,80;0,92;-0,10;11,31;12,05;0,98;;0,08;0,92;0,11;11,40;-0,05;426.153.983,95;16,43;1,98;0,16;173.953.742.404,05
BBSE3;32,89;12,96;7,38;6,27;3,08;;;;6,64;6,64;;;;22,83;-5,78;1,40;84,97;41,71;;0,49;0,51;0,00;;6,01;189.398.274,29;5,25;4,46;1,17;65.780.000.000,00
BEES3;8,28;5,76;7,72;1,22;0,07;31,53;10,44;7,81;5,78;5,76;;;0,60;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;156.536,10;6,80;1,07;0,60;2.871.730.476,12
BEES4;8,22;6,12;7,67;1,21;0,07;31,53;10,44;7,81;5,73;5,76;;;0,60;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;61.149,86;6,80;1,07;0,60;2.871.730.476,12
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;33,21;8,17;4,74;0,86;0,06;35,60;15,59;10,90;3,31;3,08;;;0,52;7,96;-0,06;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;49.665,71;38,62;7,01;0,02;664.762.833,80
BGIP4;28,49;10,48;4,06;0,74;0,05;35,60;15,59;10,90;2,84;3,08;;;0,44;6,83;-0,05;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;78.936,37;38,62;7,01;0,02;664.762.833,80
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-0,76;-0,14;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,22;-0,04;0,00;-8,24;-2,45;-6,72;0,30;0,70;0,00;;;;11,09;-0,91;0,06;14.115.600,06
BMEB3;42,00;2,58;7,82;2,13;0,15;47,17;7,89;8,15;8,08;8,68;;;0,64;0,75;-0,18;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;25.793,33;19,74;5,37;10,12;4.727.474.698,48
BMEB4;50,18;2,37;9,35;2,54;0,18;47,17;7,89;8,15;9,66;8,68;;;0,76;0,90;-0,22;;27,19;1,89;;0,07;0,93;0,23;21,54;38,42;901.821,19;19,74;5,37;12,09;4.727.474.698,48
