TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;6,36;;-11,20;0,92;0,34;27,68;9,63;-7,04;8,19;10,91;2,72;0,30;0,79;34,09;-0,45;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;349.730,13;6,95;-0,57;0,19;969.006.305,52
ABCB4;23,20;8,39;5,86;0,86;0,09;21,67;12,42;10,32;4,87;4,87;;;0,61;-2,47;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.687.961,13;26,90;3,96;0,60;5.676.039.082,40
ABEV3;12,79;8,22;13,67;2,18;1,42;51,50;25,06;16,08;8,77;8,15;-0,63;-0,16;2,20;51,43;-1,99;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;322.106.313,52;5,87;0,94;5,52;201.591.359.689,24
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;4,06;;-0,22;-3,97;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,24;1,15;-0,20;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;549.997,43;-1,02;-18,65;0,00;252.207.995,76
AESB3;8,12;;-17,01;1,70;0,37;27,59;23,00;-10,02;7,41;18,23;10,82;2,49;1,70;-15,45;-0,42;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,76;-0,48;-0,08;6.973.842.690,64
AFLT3;7,26;5,91;17,54;1,90;1,30;54,38;48,60;34,47;12,44;12,64;0,20;0,03;6,05;9,58;-1,72;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;2.933,11;3,81;0,41;-2,46;457.994.922,00
AGRO3;20,63;7,54;15,35;0,97;0,55;28,86;17,49;11,78;10,33;15,95;5,62;0,53;1,81;4,08;-0,80;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.345.830,39;21,21;1,34;-0,39;2.118.359.449,72
AGXY3;5,79;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,06;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;110.759,52;-118,43;-172,09;0,00;98.253.816,09
AHEB3;31,95;;2,63;1,09;0,50;19,41;12,54;15,36;3,22;3,15;-0,11;-0,04;0,40;1,54;-0,89;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.195,00;29,44;12,15;-0,15;276.112.605,15
AHEB5;58,00;;4,77;1,97;0,91;19,41;12,54;15,36;5,85;3,15;-0,11;-0,04;0,73;2,79;-1,61;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;0,00;29,44;12,15;-0,28;276.112.605,15
AHEB6;55,00;;4,53;1,87;0,86;19,41;12,54;15,36;5,55;3,15;-0,11;-0,04;0,70;2,65;-1,53;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;5.500,00;29,44;12,15;-0,27;276.112.605,15
ALLD3;8,48;23,99;7,20;0,54;0,24;11,61;3,27;2,07;4,57;5,79;1,21;0,14;0,15;0,78;-0,86;1,76;7,44;3,34;7,88;0,45;0,55;1,61;8,27;2,08;1.277.413,65;15,82;1,18;-0,26;803.352.884,80
ALOS3;25,40;4,73;18,70;1,03;0,52;74,56;55,52;26,33;8,87;6,96;-1,91;-0,22;4,92;5,50;-0,61;2,91;5,48;2,79;10,76;0,51;0,46;0,11;29,82;101,81;65.105.217,61;24,77;1,36;2,06;13.790.597.488,60
ALPA3;9,99;0,97;26,26;1,65;1,10;46,65;5,85;5,97;26,81;26,16;-0,71;-0,04;1,57;4,05;-2,16;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;32.358,74;6,05;0,38;-0,23;6.837.533.659,10
ALPA4;10,03;1,06;26,37;1,66;1,11;46,65;5,85;5,97;26,92;26,16;-0,71;-0,04;1,57;4,07;-2,17;2,25;6,29;4,19;4,82;0,67;0,33;0,70;2,05;-1,06;14.592.141,09;6,05;0,38;-0,23;6.837.533.659,10
ALPK3;3,14;;-197,48;1,96;0,26;32,65;13,48;-0,20;2,98;8,33;5,36;3,53;0,40;-8,78;-0,34;0,88;-0,99;-0,13;11,67;0,13;0,86;0,66;7,96;;422.374,17;1,60;-0,02;2,17;688.620.001,62
ALUP11;30,68;2,93;9,75;1,18;0,32;69,38;65,43;24,01;3,58;6,79;3,21;1,06;2,34;2,90;-0,41;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;20.125.364,61;26,00;3,15;0,23;10.112.952.279,56
ALUP3;10,96;2,74;10,44;1,26;0,35;69,38;65,43;24,01;3,83;6,79;3,21;1,06;2,51;3,11;-0,44;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;43.998,09;8,67;1,05;0,25;10.112.952.279,56
ALUP4;9,87;3,04;9,41;1,14;0,31;69,38;65,43;24,01;3,45;6,79;3,21;1,06;2,26;2,80;-0,39;2,13;12,11;3,31;11,18;0,27;0,62;0,14;-2,71;3,11;79.107,87;8,67;1,05;0,23;10.112.952.279,56
AMAR3;1,27;;-10,69;2,25;0,32;51,34;12,16;-4,04;3,55;7,16;3,61;2,29;0,43;-1,55;-0,44;0,56;-21,07;-3,02;18,95;0,14;0,86;0,75;-13,55;;324.733,22;0,56;-0,12;0,12;652.089.174,61
AMBP3;14,06;;-91,52;21,48;1,39;18,22;17,36;-3,54;18,68;23,74;5,06;5,81;3,24;5,06;-2,45;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;5.527.222,61;0,65;-0,15;4,80;23.486.086.781,40
AMER3;7,98;;0,18;0,37;0,10;29,46;-2,68;63,18;-4,14;-7,01;-2,87;0,25;0,11;0,76;-0,16;1,49;207,93;56,25;-142,53;0,27;0,73;0,89;16,22;;14.874.776,78;21,85;45,44;0,00;1.597.954.756,86
AMOB3;13,00;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;806.735,52;;;;0,00
ANIM3;3,62;1,48;10,40;0,61;0,15;61,00;23,44;3,62;1,61;6,03;4,42;1,69;0,38;1,13;-0,19;2,22;5,91;1,41;10,41;0,24;0,70;0,39;26,33;;20.063.951,43;5,89;0,35;-0,04;1.462.005.074,10
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
APTI3;197,64;;0,13;0,01;0,01;100,11;36,55;70,66;0,26;0,37;-2,23;-0,12;0,09;0,02;-0,01;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;;14.644,64;1.495,24;0,00;37.417.457,40
APTI4;2.930,92;;1,96;0,20;0,11;100,11;36,55;70,66;3,79;0,37;-2,23;-0,12;1,39;0,26;-0,20;9,00;10,21;5,45;2,60;0,53;0,47;0,08;-2,98;;0,00;14.644,64;1.495,24;-0,05;37.417.457,40
ARML3;3,94;5,73;18,61;1,11;0,30;35,93;22,91;3,94;3,20;7,67;4,47;1,55;0,73;1,59;-0,44;2,42;5,95;1,60;11,04;0,27;0,72;0,41;95,79;51,59;3.425.328,96;3,56;0,21;-0,30;1.365.186.742,18
ASAI3;10,56;1,02;15,50;2,55;0,32;16,67;5,36;1,21;3,50;6,47;2,97;2,17;0,19;9,97;-0,49;1,11;16,47;2,08;17,91;0,13;0,87;1,72;21,32;-2,51;139.875.510,78;4,14;0,68;0,40;14.292.286.261,44
AURA33;56,15;4,12;-34,67;15,99;1,92;49,36;42,08;-9,03;7,44;8,40;0,95;2,05;3,13;66,92;-2,58;1,12;-46,12;-5,53;34,25;0,12;0,88;0,61;29,10;;18.988.747,22;3,51;-1,62;-0,33;12.195.531.536,25
AURE3;11,11;0,51;-16,66;0,92;0,24;19,44;13,73;-6,34;7,69;20,71;13,01;1,56;1,06;5,01;-0,29;1,36;-5,52;-1,42;3,55;0,26;0,71;0,22;;;43.687.726,22;12,08;-0,67;-0,20;11.669.699.291,14
AVLL3;1,68;;-5,48;-2,44;0,24;37,40;21,30;-8,65;2,22;5,58;3,35;;0,47;-4,36;-0,39;0,88;-44,56;-4,36;24,32;-0,10;1,07;0,50;32,82;;21.862,17;-0,69;-0,31;0,07;328.154.502,48
AZEV3;0,46;;-2,19;0,35;0,12;-0,65;-27,51;-65,71;-5,22;-20,15;-14,77;0,99;1,44;-1,61;-0,16;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;590.106,52;1,32;-0,21;0,09;280.483.111,42
AZEV4;0,48;;-2,28;0,36;0,13;-0,65;-27,51;-65,71;-5,45;-20,15;-14,77;0,99;1,50;-1,68;-0,17;0,74;-16,00;-5,69;-9,19;0,36;0,64;0,09;144,07;;667.884,78;1,32;-0,21;0,09;280.483.111,42
AZTE3;0,46;;;;;;;;;;;;;;;;;;;;;;;;1.446.822,04;;;;0,00
AZUL4;1,45;;0,26;-0,17;0,16;29,19;17,10;81,72;1,22;9,24;8,86;;0,21;-0,31;-0,22;0,34;-65,94;63,84;42,77;-0,97;1,97;0,78;11,28;;61.372.639,78;-8,61;5,68;0,00;1.340.417.634,19
AZZA3;33,64;1,71;8,74;0,83;0,45;54,72;6,76;6,88;8,89;11,72;2,83;0,27;0,60;2,68;-0,80;1,61;9,53;5,12;0,36;0,54;0,46;0,74;37,92;37,42;53.290.348,17;40,39;3,85;0,11;6.946.317.309,32
B3SA3;13,74;2,15;15,03;3,67;1,54;90,57;58,91;44,65;11,39;11,38;-0,01;0,00;6,71;7,12;-2,36;2,62;24,40;10,24;9,27;0,42;0,58;0,23;12,34;12,15;290.727.294,74;3,75;0,91;1,00;72.361.710.000,00
