STOCK;NAME;DEPARTMENT;IMAGE
AALR3;Allianca Saude e Participacoes SA - ALLIAR;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/alliar--big.svg
ABCB4;Banco ABC Brasil SA Conv Pfd;Financeiro;https://s3-symbol-logo.tradingview.com/abc-brasil--big.svg
ABEV3;Ambev SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/ambev--big.svg
AERI3;Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aeris-on-nm--big.svg
AFLT3;Afluente Transmissao De Energia Eletrica SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/afluente-t-on--big.svg
AGRO3;BrasilAgro Cia Brasileira de Propriedades Agricolas;Financeiro;https://s3-symbol-logo.tradingview.com/brasilagro--big.svg
AGXY3;Agrogalaxy Participacoes SA;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/agrogalaxy-on-nm--big.svg
AHEB3;Sao Paulo Turismo SA;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg
AHEB5;Sao Paulo Turismo SA Pfd A;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg
AHEB6;Sao Paulo Turismo SA Pfd B;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg
ALLD3;Allied Tecnologia SA;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/allied-on-nm--big.svg
ALOS3;Allos S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/allos-on-nm--big.svg
ALPA3;Alpargatas SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/alpargatas--big.svg
ALPA4;Alpargatas SA Pfd;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/alpargatas--big.svg
ALPK3;Allpark Empreendimentos Participacoes e Servicos S.A.;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/estapar-on-nm--big.svg
ALUP11;Alupar Investimento SA Unit Cons of 1 Sh + 2 Pfd Shs;;https://s3-symbol-logo.tradingview.com/alupar--big.svg
ALUP3;Alupar Investimento SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/alupar--big.svg
ALUP4;Alupar Investimento SA Pfd Shs;Serviços Públicos;https://s3-symbol-logo.tradingview.com/alupar--big.svg
AMAR3;Marisa Lojas S.A.;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/lojas-marisaon-nm--big.svg
AMBP3;Ambipar Participacoes e Empreendimentos SA;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/ambipar--big.svg
AMER3;Americanas SA;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/americanas--big.svg
AMOB3;Automob Participacoes S.A;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/automob-on-nm--big.svg
ANIM3;Anima Holding SA;Miscelânea;https://s3-symbol-logo.tradingview.com/anima--big.svg
APTI3;Aliperti SA;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aliperti-pn-ed--big.svg
APTI4;Aliperti SA APTI Pfd;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aliperti-pn-ed--big.svg
ARML3;Armac Locacao Logistica e Servicos SA;Financeiro;https://s3-symbol-logo.tradingview.com/armac-on-ed-nm--big.svg
ASAI3;Sendas Distribuidora SA;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/assai-on-nm--big.svg
AURA33;Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/aura-360-dr3--big.svg
AURE3;Auren Energia SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/auren-on-nm--big.svg
AVLL3;Alphaville SA;Financeiro;https://s3-symbol-logo.tradingview.com/alphaville-on-nm--big.svg
AZEV3;Azevedo & Travassos SA;Serviços Industriais;https://s3-symbol-logo.tradingview.com/azevedo-on--big.svg
AZEV4;Azevedo & Travassos SA Pfd;Serviços Industriais;https://s3-symbol-logo.tradingview.com/azevedo-on--big.svg
AZTE3;Azevedo & Travassos Energia S.A;Serviços Industriais;https://s3-symbol-logo.tradingview.com/azevedo-on--big.svg
AZUL4;Azul SA Pfd Registered Shs;Transportes;https://s3-symbol-logo.tradingview.com/azul--big.svg
AZZA3;Azzas 2154 SA;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/arezzo--big.svg
B3SA3;B3 SA - Brasil, Bolsa, Balcao;Financeiro;https://s3-symbol-logo.tradingview.com/b3-on-nm--big.svg
BALM3;Baumer SA;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/baumer-on--big.svg
BALM4;Baumer SA BALM Non-Cum Perp Pfd Registered Shs;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/baumer-on--big.svg
BAUH3;Excelsior Alimentos SA;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/excelsior-pn--big.svg
BAUH4;Excelsior Alimentos SA Pfd;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/excelsior-pn--big.svg
BAZA3;Banco da Amazonia S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/amazonia-on-es--big.svg
BBAS3;Banco do Brasil S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg
BBDC3;Banco Bradesco SA;Financeiro;https://s3-symbol-logo.tradingview.com/bradesco--big.svg
BBDC4;Banco Bradesco SA Pfd;Financeiro;https://s3-symbol-logo.tradingview.com/bradesco--big.svg
BBML3;BBM Logistica SA;Transportes;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
BBSE3;BB Seguridade Participacoes SA;Financeiro;https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg
BDLL3;Bardella SA Industrias Mecanicas;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/bardella-pn--big.svg
BDLL4;Bardella SA Industrias Mecanicas Pfd;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/bardella-pn--big.svg
BEEF3;Minerva S.A.;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/minerva-on-nm--big.svg
BEES3;Banestes S.A. - Banco do Estado do Espirito Santo;Financeiro;https://s3-symbol-logo.tradingview.com/banestes-on-ed--big.svg
BEES4;Banestes SA Banco do Estado do Espirito Santo Pfd;Financeiro;https://s3-symbol-logo.tradingview.com/banestes-on-ed--big.svg
BGIP3;Banco do Estado de Sergipe SA - Banese;Financeiro;https://s3-symbol-logo.tradingview.com/banese-pn-rec--big.svg
BGIP4;Banco do Estado de Sergipe SA - Banese Non-Cum Perp Pfd Registered Shs;Financeiro;https://s3-symbol-logo.tradingview.com/banese-pn-rec--big.svg
BHIA3;Grupo Casas Bahia S.A.;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/casas-bahia-on-nm--big.svg
BIOM3;Biomm SA;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/biomm-on-ma--big.svg
BLAU3;Blau Farmaceutica SA;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/blau-on-nm--big.svg
